,GEOID,Region,VMT,Area in squaremile,Area normalized VMT,Statewide percentile rank,County percentile rank
315,6107003100,Tulare,4644719.56,93.07710266,49901.8494,24,40
316,6037920042,Los Angeles,3430929.69,1.461770058,2347106.285,90,85
317,6037554406,Los Angeles,4259533.268,0.425992996,9999068.794,99,98
318,6077004004,San Joaquin,4736821.362,2.733730078,1732731.918,86,76
319,6037137104,Los Angeles,3553682.604,0.990257978,3588643.244,94,90
320,6037401801,Los Angeles,3975254.838,1.37548995,2890064.618,92,88
321,6065031703,Riverside,4486592.83,0.869925022,5157447.729,96,95
322,6037463103,Los Angeles,3653481.638,1.418980002,2574723.838,91,86
323,6073019109,San Diego,3158036.868,34.58850098,91303.08567,39,44
324,6001450751,Alameda,3589187.919,3.865430117,928535.198,80,75
325,6095252306,Solano,4282743.541,0.720412016,5944853.01,97,100
326,6057001208,Nevada,5422982.405,8.043689728,674190.8985,77,96
327,6065031704,Riverside,4538704.614,1.008100033,4502236.352,96,94
328,6037402404,Los Angeles,3766046.739,1.57949996,2384328.48,90,85
329,6013380002,Contra Costa,5161720.755,1.027150035,5025284.115,96,99
330,6065042719,Riverside,4295764.67,10.62919998,404147.5066,71,71
331,6089012200,Shasta,5433309.007,20.33989906,267125.6622,64,68
332,6037109400,Los Angeles,3276591.021,0.498392999,6574311.892,98,96
333,6013345203,Contra Costa,4696563.711,10.39900017,451636.0838,72,67
334,6019007600,Fresno,4109760.744,137.7689972,29830.80975,15,13
335,6037602700,Los Angeles,2951927.384,0.958706021,3079074.626,92,89
336,6013380001,Contra Costa,5357285.448,4.179999828,1281647.289,83,82
337,6081605400,San Mateo,4245242.135,1.514340043,2803361.21,92,95
338,6013340001,Contra Costa,4233066.249,1.047520041,4041036.049,95,98
339,6045010601,Mendocino,2495768.704,103.9179993,24016.71243,13,65
340,6073008380,San Diego,2711089.466,0.940958977,2881198.365,92,96
341,6037460700,Los Angeles,3761887.148,2.874180079,1308855.759,83,79
342,6037551801,Los Angeles,3925347.791,0.440486014,8911401.65,99,98
343,6067008706,Sacramento,2866175.86,23.55340004,121688.4125,46,46
344,6059042307,Orange,3024847.111,0.956601977,3162074.909,93,92
345,6071004700,San Bernardino,6189470.162,0.770255983,8035601.54,98,96
346,6037530202,Los Angeles,3739706.323,0.694338977,5385995.091,97,94
347,6077003118,San Joaquin,4460782.638,0.581335008,7673342.523,98,95
348,6095253502,Solano,5147309.572,85.55419922,60164.31244,28,26
349,6037501200,Los Angeles,3809521.615,0.542876005,7017295.991,98,96
350,6059110004,Orange,2882531.038,0.690654993,4173619.343,95,95
351,6037199002,Los Angeles,3402206.932,0.519378006,6550541.012,98,96
352,6073008373,San Diego,2528969.395,1.204939961,2098834.362,88,93
353,6037553000,Los Angeles,3295762.968,0.490527987,6718807.187,98,96
354,6113011301,Yolo,3745184.193,108.9400024,34378.41113,18,25
355,6037109100,Los Angeles,3313251.091,1.044759989,3171303.579,93,89
356,6071000201,San Bernardino,5815602.084,1.143949986,5083790.513,96,91
